stimulus_number	stimulus_type	response_time	response_type	condition	correct_reaction
1	1	0	4	2	1
2	2	0	4	2	1
3	5	930	0	2	1
4	3	993	0	2	1
5	1	0	4	2	1
6	4	0	2	2	0
7	5	863	0	2	1
8	2	0	4	2	1
9	5	540	0	2	1
10	3	733	0	2	1
11	5	634	0	2	1
12	4	0	2	2	0
13	1	0	4	2	1
14	3	607	0	2	1
15	5	467	0	2	1
16	2	1744	3	2	0
17	5	503	0	2	1
18	4	818	0	2	1
19	4	1250	3	1	0
20	5	506	0	1	1
21	1	500	0	1	1
22	2	562	0	1	1
23	5	449	0	1	1
24	3	0	4	1	1
25	1	824	0	1	1
26	5	380	0	1	1
27	2	458	0	1	1
28	4	998	3	1	0
29	3	934	3	1	0
30	4	1092	3	1	0
31	5	549	0	1	1
32	2	507	0	1	1
33	5	559	0	1	1
34	3	0	4	1	1
35	1	551	0	1	1
36	2	0	4	2	1
37	1	1447	3	2	0
38	4	551	0	2	1
39	5	839	0	2	1
40	3	481	0	2	1
41	1	0	4	2	1
42	5	506	0	2	1
43	2	647	3	2	0
44	5	652	0	2	1
45	4	553	0	2	1
46	3	901	0	2	1
47	2	1095	3	2	0
48	5	473	0	2	1
49	1	0	4	2	1
50	5	565	0	2	1
51	3	0	2	2	0
52	5	733	0	2	1
53	4	1054	0	2	1
54	1	888	0	1	1
55	5	519	0	1	1
56	2	528	0	1	1
57	5	473	0	1	1
58	3	999	3	1	0
59	5	572	0	1	1
60	2	1155	0	1	1
61	4	0	4	1	1
62	1	0	2	1	0
63	4	0	4	1	1
64	5	387	0	1	1
65	3	661	3	1	0
66	1	1671	0	1	1
67	5	511	0	1	1
68	4	0	4	1	1
69	2	481	0	1	1
70	3	0	4	1	1
0	0	0	0	0	0
0	0	0	0	0	0
