stimulus_number	stimulus_type	response_time	response_type	condition	correct_reaction
1	4	-1	4	1	1	1
2	1	-1	2	1	0	1
3	2	828	0	1	1	1
4	3	629	3	1	0	1
5	5	609	0	1	1	1
6	1	497	0	1	1	1
7	5	483	0	1	1	1
8	2	429	0	1	1	1
9	4	679	3	1	0	1
10	5	478	0	1	1	1
11	3	301	3	1	0	1
12	4	703	3	1	0	1
13	2	365	0	1	1	1
14	5	520	0	1	1	1
15	3	641	3	1	0	1
16	5	656	0	1	1	1
17	1	233	0	1	1	1
18	1	513	3	2	0	2
19	5	541	0	2	1	2
20	2	333	3	2	0	2
21	3	273	0	2	1	2
22	2	446	3	2	0	2
23	5	514	0	2	1	2
24	4	376	0	2	1	2
25	1	1154	3	2	0	2
26	5	469	0	2	1	2
27	4	398	0	2	1	2
28	3	932	0	2	1	2
29	1	526	3	2	0	2
30	4	316	0	2	1	2
31	5	599	0	2	1	2
32	2	294	3	2	0	2
33	5	-1	0	2	1	2
34	3	282	0	2	1	2
35	1	292	0	1	1	3
36	2	920	0	1	1	3
37	5	424	0	1	1	3
38	3	342	3	1	0	3
39	5	792	0	1	1	3
40	1	-1	2	1	0	3
41	4	-1	4	1	1	3
42	2	620	0	1	1	3
43	3	443	3	1	0	3
44	5	515	0	1	1	3
45	4	477	3	1	0	3
46	5	457	0	1	1	3
47	1	390	0	1	1	3
48	3	973	3	1	0	3
49	5	458	0	1	1	3
50	2	795	0	1	1	3
51	4	1193	3	1	0	3
52	2	-1	4	2	1	4
53	5	850	0	2	1	4
54	1	530	3	2	0	4
55	5	1281	0	2	1	4
56	4	649	0	2	1	4
57	5	480	0	2	1	4
58	3	705	0	2	1	4
59	1	361	3	2	0	4
60	2	979	3	2	0	4
61	4	625	0	2	1	4
62	5	544	0	2	1	4
63	3	315	0	2	1	4
64	5	506	0	2	1	4
65	2	47	3	2	0	4
66	1	353	3	2	0	4
67	3	713	0	2	1	4
68	4	419	0	2	1	4




