stimulus_number	stimulus_type	response_time	response_type	condition	nothing
1	2	390	3	2	0
2	1	1740	3	2	0
3	4	1280	0	2	0
4	5	386	0	2	0
5	3	361	0	2	0
6	1	761	3	2	0
7	2	1134	3	2	0
8	4	1299	0	2	0
9	3	0	2	2	0
10	5	552	0	2	0
11	2	775	3	2	0
12	5	638	0	2	0
13	1	848	3	2	0
14	3	498	0	2	0
15	4	0	2	2	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
stimulus_number	stimulus_type	response_time	response_type	condition	nothing
1	1	904	0	1	0
2	2	1342	0	1	0
3	5	0	0	1	0
4	3	309	3	1	0
5	4	404	3	1	0
6	5	0	0	1	0
7	3	524	3	1	0
8	5	0	0	1	0
9	2	90	0	1	0
10	5	0	0	1	0
11	1	0	2	1	0
12	4	0	4	1	0
13	3	0	4	1	0
14	2	0	2	1	0
15	4	0	4	1	0
16	1	0	2	1	0
17	2	162	3	2	0
18	3	449	0	2	0
19	4	397	0	2	0
20	1	584	3	2	0
21	3	0	2	2	0
22	5	736	0	2	0
23	2	305	3	2	0
24	5	682	0	2	0
25	4	1112	0	2	0
26	1	1577	3	2	0
27	5	367	0	2	0
28	3	0	2	2	0
29	5	1235	0	2	0
30	2	888	3	2	0
31	4	0	2	2	0
32	1	1390	3	2	0
33	5	1095	0	2	0
34	2	0	4	2	0
35	3	948	0	2	0
36	2	1103	3	2	0
37	5	1045	0	2	0
38	4	0	2	2	0
39	5	1208	0	2	0
40	1	1425	3	2	0
41	4	0	2	2	0
42	5	1310	0	2	0
43	3	0	2	2	0
44	1	0	4	2	0
45	4	0	2	2	0
46	5	922	0	2	0
47	2	700	3	2	0
48	3	454	0	2	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
stimulus_number	stimulus_type	response_time	response_type	condition	correct_reaction
1	2	0	2	2	0
2	5	0	0	2	0
3	1	0	2	2	0
4	4	0	4	2	0
5	3	0	4	2	0
6	5	0	0	2	0
7	1	0	4	2	0
8	5	0	0	2	0
9	2	0	2	2	0
10	4	0	2	2	0
11	3	0	4	2	0
12	5	0	0	2	0
13	2	0	4	2	0
14	1	0	2	2	0
15	3	0	4	2	0
16	5	0	0	2	0
17	4	0	2	2	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
stimulus_number	stimulus_type	response_time	response_type	condition	correct_reaction
1	4	0	2	2	0
2	1	0	4	2	0
3	2	0	4	2	0
4	5	0	0	2	0
5	3	0	2	2	0
6	5	0	0	2	0
7	1	0	4	2	0
8	2	0	4	2	0
9	4	0	2	2	0
10	3	0	2	2	0
11	5	0	0	2	0
12	4	0	2	2	0
13	5	0	0	2	0
14	2	0	4	2	0
15	3	0	2	2	0
16	5	0	0	2	0
17	1	0	4	2	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
stimulus_number	stimulus_type	response_time	response_type	condition	correct_reaction
1	1	0	4	2	1
2	2	0	4	2	1
3	5	0	0	2	0
4	3	0	2	2	0
5	1	0	4	2	1
6	5	0	0	2	0
7	4	0	2	2	0
8	2	0	4	2	1
9	3	0	2	2	0
10	5	0	0	2	0
11	4	0	2	2	0
12	1	0	4	2	1
13	5	0	0	2	0
14	3	0	2	2	0
15	5	0	0	2	0
16	2	0	4	2	1
17	4	0	2	2	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
