ID,configuration,time,reaction_time,reaction_type,group,block,stimulus_in_block,block_type,stimulus_id,target_non_target,taget_filename,non_target_filename
drei,1,3033,435,1,group1,block1,1,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,4333,0,2,group1,block1,2,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,5966,0,4,group1,block1,3,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,7449,0,2,group1,block1,4,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,9049,0,2,group1,block1,5,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,10533,0,2,group1,block1,6,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,12133,0,2,group1,block1,7,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,13816,0,4,group1,block1,8,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,15499,0,2,group1,block1,9,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,17183,0,4,group1,block1,10,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,18483,0,2,group1,block1,11,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,19883,0,2,group1,block1,12,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,21583,0,4,group1,block1,13,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,23132,0,2,group1,block1,14,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,24582,0,4,group1,block1,15,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,26016,0,2,group1,block1,16,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,27382,0,2,group1,block1,17,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,28982,0,4,group1,block1,18,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,30632,0,2,group1,block1,19,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,32166,0,2,group1,block1,20,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,33482,0,2,group1,block1,21,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,35132,0,2,group1,block1,22,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,36482,0,2,group1,block1,23,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,38182,0,2,group1,block1,24,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,39882,0,2,group1,block1,25,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,41316,0,2,group1,block1,26,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,42749,0,2,group1,block1,27,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,44466,0,2,group1,block1,28,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,45716,0,4,group1,block1,29,Inhibition,2,non_target,stimulus_a.jpg,stimulus_a.jpg
drei,1,47182,0,2,group1,block1,30,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,48899,0,2,group1,block1,31,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
drei,1,50449,0,2,group1,block1,32,Inhibition,1,target,stimulus_a.jpg,stimulus_a.jpg
