ID,reaction_time,reaction_type,block,stimulus,block_type,color,taget/non_target
robin,957,3,block1,1,D,2,non_target
robin,271,3,block1,2,D,2,non_target
robin,262,3,block1,3,D,2,non_target
robin,222,3,block1,4,D,2,non_target
robin,220,3,block1,5,D,2,non_target
robin,207,3,block1,6,D,2,non_target
robin,176,3,block1,7,D,2,non_target
robin,190,3,block1,8,D,2,non_target
robin,210,3,block1,9,D,2,non_target
robin,184,3,block1,10,D,2,non_target
robin,185,3,block1,11,D,2,non_target
robin,156,3,block1,12,D,2,non_target
robin,2,3,block1,13,D,2,non_target
robin,123,3,block1,14,D,2,non_target
robin,91,3,block1,15,D,2,non_target
robin,0,4,block1,16,D,2,non_target
robin,44,3,block1,17,D,2,non_target
robin,18,3,block1,18,D,2,non_target
robin,196,3,block1,19,D,2,non_target
robin,429,3,block1,20,D,2,non_target
robin,40,3,block1,21,D,2,non_target
robin,237,3,block1,22,D,2,non_target
robin,256,3,block1,23,D,2,non_target
robin,131,3,block1,24,D,2,non_target
robin,164,3,block1,25,D,2,non_target
robin,135,3,block1,26,D,2,non_target
robin,56,3,block1,27,D,2,non_target
robin,62,3,block1,28,D,2,non_target
robin,170,3,block1,29,D,2,non_target
robin,43,3,block1,30,D,2,non_target
robin,25,3,block1,31,D,2,non_target
robin,44,3,block1,32,D,2,non_target
robin,90,3,block1,33,D,2,non_target
robin,114,3,block1,34,D,2,non_target
robin,20,3,block1,35,D,2,non_target
robin,44,3,block1,36,D,2,non_target
robin,95,3,block1,37,D,2,non_target
robin,98,3,block1,38,D,2,non_target
robin,118,3,block1,39,D,2,non_target
robin,80,3,block1,40,D,2,non_target
