Participant	trialsUsed.Selective	averageFixationDuration.Selective	averageSaccadeDuration.Selective	averageSaccadeAmplitude.Selective	averagePeakVelocity.Selective	averageBlinkAmplitude.Selective	trialsUsed.Divided	averageFixationDuration.Divided	averageSaccadeDuration.Divided	averageSaccadeAmplitude.Divided	averagePeakVelocity.Divided	averageBlinkAmplitude.Divided	trialsUsed.SwitchingSelective	averageFixationDuration.SwitchingSelective	averageSaccadeDuration.SwitchingSelective	averageSaccadeAmplitude.SwitchingSelective	averagePeakVelocity.SwitchingSelective	averageBlinkAmplitude.SwitchingSelective	trialsUsed.SwitchingDevided	averageFixationDuration.SwitchingDevided	averageSaccadeDuration.SwitchingDevided	averageSaccadeAmplitude.SwitchingDevided	averagePeakVelocity.SwitchingDevided	averageBlinkAmplitude.SwitchingDevided
1	104	69.3203233256351	27.124649859944	10.2002801120448	110.950420168067	46.0679474708171	83	70.5759530791789	27.5409395973154	10.8540268456376	119.125503355705	50.0573413897281	78	73.4622073578595	28.3773462783172	11.07928802589	118.121359223301	49.0243697478992	78	71.7980392156863	28.3664359861592	10.8799307958478	117.450519031142	49.7694117647059
2	96	98.8416666666667	41.3067137809187	18.5250883392226	175.312720848057	93.5947323704333	104	85.1428571428571	39.3635258358663	18.9410334346505	204.668085106383	82.7921916010499	50	91.1578947368421	35.9788732394366	23.1295774647887	372.528169014084	127.149404761905	46	217.545454545455	37.9938775510204	26.9367346938776	388.336734693878	150.707989690722
3	87	75.22	40.0834951456311	14.5281553398058	130.428155339806	80.4319013524264	40	92.9714285714286	39.1238095238095	16.697619047619	186.242857142857	144.674127906977	76	68.3247126436782	32.6296416938111	11.7172638436482	97.7706840390879	55.4248384781048	72	66.6661764705882	31.9255230125523	11.8535564853556	106.96820083682	59.1246388443018
4	104	67.9995633187773	28.5252358490566	12.510141509434	116.843396226415	42.1366462552991	82	75.6277777777778	27.6105769230769	11.9221153846154	126.095833333333	44.1459055588763	78	85.6609318996416	30.3851063829787	13.5946808510638	138.373758865248	51.0293948126801	78	76.8260188087774	28.9885017421603	12.6895470383275	135.072473867596	48.7397870924817
5	104	68.4192771084337	26.53125	10.4153017241379	93.6956896551724	36.1339912280702	99	68.8704028021016	26.4058962264151	10.0068396226415	95.426179245283	36.9157210913815	78	68.2280285035629	26.7099706744868	9.90087976539589	87.8079178885631	36.719520174482	78	68.0907582938389	26.4459701492537	9.93313432835821	94.4832835820896	36.720186697783
6	104	68.7495670995671	27.7061503416856	10.7337129840547	99.8316628701594	40.3659712563746	104	67.5682119205298	28.53779342723	11.1542253521127	114.734272300469	42.3556080790718	78	71.273275862069	33.2161870503597	13.4413669064748	143.420143884892	57.8804175665947	78	70.2618181818182	30.4692810457516	12.940522875817	131.290849673203	49.643374272786
7	104	70.6688	27.7103773584906	10.9318396226415	104.394339622641	39.0488996478873	104	67.5854054054054	27.217094017094	11.0685897435897	102.990384615385	37.6931921959319	78	69.1546666666667	27.8419825072886	11.4174927113703	105.141690962099	40.4047508690614	78	69.1554187192118	27.066149068323	11.1298136645963	109.163043478261	38.9119603267211
8	104	67.8827777777778	25.7616161616162	10.5891414141414	113.817676767677	36.686404293381	104	66.8849122807018	26.1028985507246	10.9292270531401	112.685748792271	38.4642772277228	78	67.988746803069	26.6006430868167	11.3022508038585	116.999356913183	40.2045645645646	78	67.2088669950739	25.9646706586826	10.9895209580838	106.788922155689	38.9535393258427
9	104	68.6924180327869	27.5579787234043	11.4643617021277	123.551595744681	43.1291353383459	104	67.7102449888641	27.2093150684932	10.8183561643836	121.088767123288	46.5081874112636	78	70.0254437869823	27.9790540540541	11.7702702702703	116.656418918919	46.5931407942238	78	68.7981481481481	27.47	11.4203703703704	132.565925925926	46.9335223692502
10	104	67.4071794871795	28.426354679803	10.6945812807882	107.737438423645	45.7316017316017	104	68.4638020833333	29.477366255144	11.3460905349794	101.619958847737	48.7311405584477	56	69.3122807017544	28.4011904761905	11.6543650793651	101.661904761905	47.139586919105	73	71.2612334801762	30.8544910179641	11.3532934131737	106.30628742515	51.9634110787172
11	104	69.5902702702703	26.3543942992874	10.7066508313539	99.3125890736342	37.7336832895888	104	68.0998120300752	26.8129840546697	11.2246013667426	112.251025056948	40.6795454545455	78	67.8320413436692	26.7348909657321	11.3906542056075	114.956697819315	40.8762809441566	78	72.0599455040872	27.3604166666667	11.696130952381	117.39375	44.3470699432892
12	103	69.8737051792829	26.5864532019704	11.2206896551724	114.272413793103	40.1010232558139	104	71.3030501089325	27.6875894988067	11.4178997613365	111.911933174224	45.6487250811312	78	72.2232323232323	27.4443609022556	11.3567669172932	136.736090225564	53.3125346260388	75	71.5306896551724	29.0340277777778	12.00625	124.439930555556	52.3862391930836
13	104	68.8040899795501	27.3582608695652	10.6380434782609	96.7280434782609	41.1076031525267	102	68.4607476635514	29.4545662100457	10.5614155251142	99.660502283105	44.1928770949721	78	70.2478036175711	27.5766570605187	10.7821325648415	97.1325648414986	42.218831942789	78	69.1473684210526	28.3339233038348	10.4256637168142	95.101179941003	42.0899059561129
