Trial	Stimulus	Export.Start.Trial.Time..ms.	Export.End.Trial.Time..ms.	Participant	Color	Fixation.Count	Fixation.Frequency..count.s.	Fixation.Duration.Total..ms.	Fixation.Duration.Average..ms.	Fixation.Duration.Maximum..ms.	Fixation.Duration.Minimum..ms.	Fixation.Dispersion.Total..px.	Fixation.Dispersion.Average..px.	Fixation.Dispersion.Maximum..px.	Fixation.Dispersion.Minimum..px.	Saccade.Count	Saccade.Frequency..count.s.	Saccade.Duration.Total..ms.	Saccade.Duration.Average..ms.	Saccade.Duration.Maximum..ms.	Saccade.Duration.Minimum..ms.	Saccade.Amplitude.Total..Â..	Saccade.Amplitude.Average..Â..	Saccade.Amplitude.Maximum..Â..	Saccade.Amplitude.Minimum..Â..	Saccade.Velocity.Total..Â..s.	Saccade.Velocity.Average..Â..s.	Saccade.Velocity.Maximum..Â..s.	Saccade.Velocity.Minimum..Â..s.	Saccade.Latency.Average..ms.	Blink.Count	Blink.Frequency..count.s.	Blink.Duration.Total..ms.	Blink.Duration.Average..ms.	Blink.Duration.Maximum..ms.	Blink.Duration.Minimum..ms.	Scanpath.Length..px.	Condition
Trial486	switching_selective_form_non_target.jpg	0	1072.7	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial488	switching_selective_form_non_target.jpg	0	760.7	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial490	switching_selective_form_non_target.jpg	0	1947.9	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial492	switching_selective_form_non_target.jpg	0	1151.3	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial494	switching_selective_form_non_target.jpg	0	2343.2	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial498	switching_selective_form_non_target.jpg	0	1743.8	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial500	switching_selective_form_non_target.jpg	0	1744.3	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial504	switching_selective_form_non_target.jpg	0	2336.3	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial506	switching_selective_form_non_target.jpg	0	1336.2	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial510	switching_selective_form_non_target.jpg	0	2367.7	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial512	switching_selective_form_non_target.jpg	0	1557.9	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial514	switching_selective_form_non_target.jpg	0	1132.3	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial518	switching_selective_form_non_target.jpg	0	1742.6	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial522	switching_selective_form_non_target.jpg	0	1540.4	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial524	switching_selective_form_non_target.jpg	0	1336.7	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial526	switching_selective_form_non_target.jpg	0	2355.9	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial528	switching_selective_form_non_target.jpg	0	1948.5	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial530	switching_selective_form_non_target.jpg	0	540	1	Coral	0	0	0	0	-	-	0	-	-	-	0	0	0	-	-	-	0	-	-	-	0	-	0	-	0	0	0	0	-	-	-	0	switching_selective
Trial534	switching_selective_form_non_target.jpg	0	1856.8	1	Coral	4	2.2	419.3	104.8	119.8	95.7	56.7	14.2	19.5	8.8	5	2.7	185.7	37.1	42.0	35.9	73.9	14.8	18.2	13.6	1983.5	396.7	432.2	379.3	345.9	13	7	1107.9	85.2	491.1	47.9	104	switching_selective
Trial698	switching_selective_form_non_target.jpg	0	1842.6	1	Coral	1	0.5	170.1	170.1	170.1	170.1	8	8.0	8.0	8.0	6	3.3	194.7	32.4	50.5	23.6	99.7	16.6	24.4	9.0	3053.7	508.9	762.6	382.0	251.1	20	10.9	1340.4	67.0	333.5	16.0	0	switching_selective
Trial700	switching_selective_form_non_target.jpg	0	1843	1	Coral	2	1.1	126.1	63	63.9	62.1	25.4	12.7	17.4	8.0	4	2.2	204.4	51.1	108.0	24.0	85.4	21.3	42.7	9.4	1673.4	418.4	497.6	389.2	323.8	22	11.9	1196.8	54.4	302.6	31.1	15	switching_selective
Trial704	switching_selective_form_non_target.jpg	0	1843.3	1	Coral	4	2.2	253.7	63.4	64.0	62.9	41.8	10.4	13.6	4.9	7	3.8	191.1	27.3	36.0	23.6	72.9	10.4	15.0	1.3	2659.4	379.9	511.4	45.7	251	22	11.9	1054.2	47.9	295.7	31.4	105	switching_selective
Trial706	switching_selective_form_non_target.jpg	0	1842	1	Coral	8	4.3	479.7	60	64.0	51.4	126.8	15.8	29.7	7.2	4	2.2	127.6	31.9	44.0	23.6	38	9.5	10.2	9.0	1261.7	315.4	381.4	230.7	302.8	26	14.1	1130.2	43.5	252.0	31.5	142	switching_selective
Trial708	switching_selective_form_non_target.jpg	0	1840.6	1	Coral	5	2.7	369.4	73.9	102.7	62.4	86.4	17.3	27.7	12.0	5	2.7	126.3	25.3	32.0	23.2	50.8	10.2	14.4	8.9	1994.8	399.0	449.2	383.0	142.3	25	13.6	1104.7	44.2	255.5	30.9	93	switching_selective
Trial710	switching_selective_form_non_target.jpg	0	1840.1	1	Coral	6	3.3	405.2	67.5	80.1	52.0	102.8	17.1	50.8	5.0	5	2.7	119.3	23.9	24.1	23.6	45.3	9.1	9.2	8.8	1898	379.6	384.9	371.3	313.2	26	14.1	1162.6	44.7	195.9	28.1	202	switching_selective
