subjectid	configuration	conditionid	trialid	form	color	seperateAttention	target	time_stimulus	code	time_reaction	time_diff	rm_type

1	1	selective	1	star	2	2	0	35112.3		-1	-35113.3	rm_other
1	1	selective	1	flower	6	2	0	38698.6	2	39231.5	532.9	rm_false_alarm
1	1	selective	1	bell	4	2	2	41417.6	2	41695.4	277.8	rm_hit
1	1	selective	1	heart	3	2	0	43502.6	2	43903.9	401.3	rm_false_alarm
1	1	selective	1	circle	2	2	0	45504.3	2	47007.7	1503.4	rm_false_alarm
1	1	selective	1	circle	3	2	0	47989.7	2	48079.5	89.8	rm_false_alarm
1	1	selective	1	flower	1	2	0	49674.4		-1	-49675.4	rm_other
1	1	selective	1	bell	3	2	2	52860.4		-1	-52861.4	rm_miss
1	1	selective	1	flower	2	2	0	56630.2	2	57313.3	683.1	rm_false_alarm
1	1	selective	1	heart	5	2	0	58898.7	2	59439.4	540.7	rm_false_alarm
1	1	selective	1	star	5	2	0	61601	2	62031.6	430.6	rm_false_alarm
1	1	selective	1	heart	4	2	0	63802.8	2	64303.5	500.7	rm_false_alarm
1	1	selective	1	bell	1	2	2	66655.1	2	66879.5	224.4	rm_hit
1	1	selective	1	flower	4	2	0	68456.6	2	68735.4	278.8	rm_false_alarm
1	1	selective	1	star	4	2	0	71092.2	2	71551.8	459.6	rm_false_alarm
1	1	selective	1	circle	5	2	0	72293.1	2	72735.6	442.5	rm_false_alarm
1	1	selective	1	flower	3	2	0	75095.5	2	75455.4	359.9	rm_false_alarm
1	1	selective	1	heart	2	2	0	76813.6	2	77183.5	369.9	rm_false_alarm
1	1	selective	1	bell	2	2	2	78932	2	79519.5	587.5	rm_hit
1	1	selective	1	heart	6	2	0	80082.9	2	80543.6	460.7	rm_false_alarm
1	1	selective	1	bell	6	2	2	81700.9	2	81871.4	170.5	rm_hit
1	1	selective	1	flower	5	2	0	84236.4	2	84639.4	403	rm_false_alarm
1	1	selective	1	bell	3	2	2	86788.5	2	87151.4	362.9	rm_hit
1	1	selective	1	moon	5	2	0	88923.6		-1	-88924.6	rm_other
1	1	selective	1	heart	1	2	0	92893.5		-1	-92894.5	rm_other
1	1	selective	1	bell	5	2	2	96246.3		-1	-96247.3	rm_miss

